"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"3305","GO:0030263","apoptotic chromosome condensation",3,3,3,"0.28980"
"3306","GO:0031619","homologous chromosome orientation involved in meiotic metaphase I plate congression",1,1,1,"0.28981"
"3307","GO:0010793","regulation of mRNA export from nucleus",7,7,7,"0.28994"
"3308","GO:0071280","cellular response to copper ion",11,11,11,"0.28995"
"3309","GO:0010739","positive regulation of protein kinase A signaling",6,6,6,"0.29007"
"3310","GO:1902527","positive regulation of protein monoubiquitination",4,4,4,"0.29008"
"3311","GO:1905406","positive regulation of mitotic cohesin loading",1,1,1,"0.29017"
"3312","GO:0070550","rDNA condensation",1,1,1,"0.29017"
"3313","GO:0030838","positive regulation of actin filament polymerization",78,78,78,"0.29080"
"3314","GO:0035498","carnosine metabolic process",2,2,2,"0.29089"
"3315","GO:0031274","positive regulation of pseudopodium assembly",6,6,6,"0.29112"
"3316","GO:0007185","transmembrane receptor protein tyrosine phosphatase signaling pathway",1,1,1,"0.29116"
"3317","GO:0022028","tangential migration from the subventricular zone to the olfactory bulb",8,8,8,"0.29121"
"3318","GO:1902746","regulation of lens fiber cell differentiation",9,9,9,"0.29131"
"3319","GO:0001970","positive regulation of activation of membrane attack complex",1,1,1,"0.29151"
"3320","GO:0035846","oviduct epithelium development",2,2,2,"0.29153"
"3321","GO:0060038","cardiac muscle cell proliferation",38,38,38,"0.29162"
"3322","GO:0106121","positive regulation of cobalamin metabolic process",1,1,1,"0.29187"
"3323","GO:0032927","positive regulation of activin receptor signaling pathway",7,7,7,"0.29190"
"3324","GO:1904154","positive regulation of retrograde protein transport, ER to cytosol",3,3,3,"0.29201"
"3325","GO:0052651","monoacylglycerol catabolic process",4,4,4,"0.29236"
"3326","GO:0050776","regulation of immune response",543,543,543,"0.29237"
"3327","GO:0061312","BMP signaling pathway involved in heart development",3,3,3,"0.29238"
"3328","GO:0003289","atrial septum primum morphogenesis",3,3,3,"0.29238"
"3329","GO:0010831","positive regulation of myotube differentiation",23,23,23,"0.29240"
"3330","GO:0043457","regulation of cellular respiration",30,30,30,"0.29242"
"3331","GO:0021553","olfactory nerve development",2,2,2,"0.29267"
"3332","GO:0030540","female genitalia development",8,8,8,"0.29269"
"3333","GO:0003226","right ventricular compact myocardium morphogenesis",1,1,1,"0.29272"
"3334","GO:0099640","axo-dendritic protein transport",16,16,16,"0.29274"
"3335","GO:1904179","positive regulation of adipose tissue development",4,4,4,"0.29278"
"3336","GO:0006227","dUDP biosynthetic process",3,3,3,"0.29279"
"3337","GO:0099089","establishment of endoplasmic reticulum localization to postsynapse",1,1,1,"0.29280"
"3338","GO:0071788","endoplasmic reticulum tubular network maintenance",1,1,1,"0.29287"
"3339","GO:0009214","cyclic nucleotide catabolic process",6,6,6,"0.29301"
"3340","GO:1904478","regulation of intestinal absorption",6,6,6,"0.29308"
"3341","GO:0060327","cytoplasmic actin-based contraction involved in cell motility",3,3,3,"0.29316"
"3342","GO:1901398","regulation of transforming growth factor beta3 activation",1,1,1,"0.29322"
"3343","GO:0033629","negative regulation of cell adhesion mediated by integrin",6,6,6,"0.29331"
"3344","GO:0060433","bronchus development",7,7,7,"0.29339"
"3345","GO:0003337","mesenchymal to epithelial transition involved in metanephros morphogenesis",4,4,4,"0.29341"
"3346","GO:2000005","negative regulation of metanephric S-shaped body morphogenesis",1,1,1,"0.29344"
"3347","GO:2000007","negative regulation of metanephric comma-shaped body morphogenesis",1,1,1,"0.29344"
"3348","GO:0055020","positive regulation of cardiac muscle fiber development",1,1,1,"0.29344"
"3349","GO:0035990","tendon cell differentiation",1,1,1,"0.29344"
"3350","GO:0061151","BMP signaling pathway involved in renal system segmentation",1,1,1,"0.29344"
"3351","GO:0061155","pulmonary artery endothelial tube morphogenesis",1,1,1,"0.29344"
"3352","GO:0061149","BMP signaling pathway involved in ureter morphogenesis",1,1,1,"0.29344"
"3353","GO:0071893","BMP signaling pathway involved in nephric duct formation",1,1,1,"0.29344"
"3354","GO:1901964","positive regulation of cell proliferation involved in outflow tract morphogenesis",1,1,1,"0.29344"
"3355","GO:0060197","cloacal septation",1,1,1,"0.29344"
"3356","GO:0072097","negative regulation of branch elongation involved in ureteric bud branching by BMP signaling pathway",1,1,1,"0.29344"
"3357","GO:0060503","bud dilation involved in lung branching",1,1,1,"0.29344"
"3358","GO:0007500","mesodermal cell fate determination",1,1,1,"0.29344"
"3359","GO:0072192","ureter epithelial cell differentiation",1,1,1,"0.29344"
"3360","GO:0072101","specification of ureteric bud anterior/posterior symmetry by BMP signaling pathway",1,1,1,"0.29344"
"3361","GO:0072200","negative regulation of mesenchymal cell proliferation involved in ureter development",1,1,1,"0.29344"
"3362","GO:0048392","intermediate mesodermal cell differentiation",1,1,1,"0.29344"
"3363","GO:0061047","positive regulation of branching involved in lung morphogenesis",2,2,2,"0.29345"
"3364","GO:1901341","positive regulation of store-operated calcium channel activity",7,7,7,"0.29346"
"3365","GO:2000137","negative regulation of cell proliferation involved in heart morphogenesis",3,3,3,"0.29347"
"3366","GO:0060592","mammary gland formation",3,3,3,"0.29347"
"3367","GO:0007066","female meiosis sister chromatid cohesion",3,3,3,"0.29349"
"3368","GO:0006941","striated muscle contraction",97,97,97,"0.29375"
"3369","GO:0050821","protein stabilization",160,160,160,"0.29384"
"3370","GO:0150062","complement-mediated synapse pruning",3,3,3,"0.29390"
"3371","GO:0150064","vertebrate eye-specific patterning",3,3,3,"0.29390"
"3372","GO:0002074","extraocular skeletal muscle development",2,2,2,"0.29391"
"3373","GO:0008277","regulation of G protein-coupled receptor signaling pathway",85,85,85,"0.29412"
"3374","GO:1904685","positive regulation of metalloendopeptidase activity",2,2,2,"0.29442"
"3375","GO:0070377","negative regulation of ERK5 cascade",1,1,1,"0.29444"
"3376","GO:2000401","regulation of lymphocyte migration",50,50,50,"0.29457"
"3377","GO:0010701","positive regulation of norepinephrine secretion",2,2,2,"0.29472"
"3378","GO:0097499","protein localization to non-motile cilium",7,7,7,"0.29475"
"3379","GO:0070165","positive regulation of adiponectin secretion",1,1,1,"0.29479"
"3380","GO:1901098","positive regulation of autophagosome maturation",6,6,6,"0.29496"
"3381","GO:0034629","cellular protein-containing complex localization",26,26,26,"0.29500"
"3382","GO:0042752","regulation of circadian rhythm",95,95,95,"0.29507"
"3383","GO:0016050","vesicle organization",233,233,233,"0.29508"
"3384","GO:0043525","positive regulation of neuron apoptotic process",70,70,70,"0.29515"
"3385","GO:0019228","neuronal action potential",16,16,16,"0.29518"
"3386","GO:1901030","positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",11,11,11,"0.29520"
"3387","GO:1903588","negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis",4,4,4,"0.29535"
"3388","GO:0060160","negative regulation of dopamine receptor signaling pathway",1,1,1,"0.29537"
"3389","GO:0003209","cardiac atrium morphogenesis",18,18,18,"0.29565"
"3390","GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum",17,17,17,"0.29583"
"3391","GO:0006253","dCTP catabolic process",1,1,1,"0.29587"
"3392","GO:0071608","macrophage inflammatory protein-1 alpha production",6,6,6,"0.29587"
"3393","GO:0002732","positive regulation of dendritic cell cytokine production",7,7,7,"0.29589"
"3394","GO:0032498","detection of muramyl dipeptide",1,1,1,"0.29594"
"3395","GO:0006965","positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria",1,1,1,"0.29594"
"3396","GO:1903709","uterine gland development",1,1,1,"0.29608"
"3397","GO:0097502","mannosylation",22,22,22,"0.29620"
"3398","GO:0035881","amacrine cell differentiation",5,5,5,"0.29623"
"3399","GO:0061099","negative regulation of protein tyrosine kinase activity",23,23,23,"0.29638"
"3400","GO:0007064","mitotic sister chromatid cohesion",25,25,25,"0.29638"
"3401","GO:1901379","regulation of potassium ion transmembrane transport",54,54,54,"0.29657"
"3402","GO:1904273","L-alanine import across plasma membrane",3,3,3,"0.29659"
"3403","GO:0051310","metaphase plate congression",54,54,54,"0.29679"
"3404","GO:0060363","cranial suture morphogenesis",4,4,4,"0.29728"
"3405","GO:1901491","negative regulation of lymphangiogenesis",3,3,3,"0.29750"
"3406","GO:0099547","regulation of translation at synapse, modulating synaptic transmission",7,7,7,"0.29759"
"3407","GO:1903691","positive regulation of wound healing, spreading of epidermal cells",2,2,2,"0.29766"
"3408","GO:0003205","cardiac chamber development",120,120,120,"0.29769"
"3409","GO:0003408","optic cup formation involved in camera-type eye development",1,1,1,"0.29781"
"3410","GO:0007413","axonal fasciculation",16,16,16,"0.29786"
"3411","GO:1902311","regulation of copper ion transmembrane transport",1,1,1,"0.29795"
"3412","GO:1905552","positive regulation of protein localization to endoplasmic reticulum",2,2,2,"0.29797"
"3413","GO:1905317","inferior endocardial cushion morphogenesis",1,1,1,"0.29824"
"3414","GO:0002663","positive regulation of B cell tolerance induction",1,1,1,"0.29824"
"3415","GO:0002651","positive regulation of tolerance induction to self antigen",1,1,1,"0.29824"
"3416","GO:1904030","negative regulation of cyclin-dependent protein kinase activity",21,21,21,"0.29833"
"3417","GO:0044806","G-quadruplex DNA unwinding",6,6,6,"0.29836"
"3418","GO:0006836","neurotransmitter transport",145,145,145,"0.29839"
"3419","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage",99,99,99,"0.29845"
"3420","GO:0035308","negative regulation of protein dephosphorylation",31,31,31,"0.29852"
"3421","GO:0043967","histone H4 acetylation",63,63,63,"0.29871"
"3422","GO:0044344","cellular response to fibroblast growth factor stimulus",55,55,55,"0.29886"
"3423","GO:0031999","negative regulation of fatty acid beta-oxidation",6,6,6,"0.29887"
"3424","GO:0030328","prenylcysteine catabolic process",2,2,2,"0.29889"
"3425","GO:0045759","negative regulation of action potential",8,8,8,"0.29889"
"3426","GO:0008209","androgen metabolic process",13,13,13,"0.29910"
"3427","GO:0006956","complement activation",44,44,44,"0.29918"
"3428","GO:0042542","response to hydrogen peroxide",109,109,109,"0.29919"
"3429","GO:0046458","hexadecanal metabolic process",1,1,1,"0.29925"
"3430","GO:0006714","sesquiterpenoid metabolic process",1,1,1,"0.29925"
"3431","GO:0046292","formaldehyde metabolic process",4,4,4,"0.29930"
"3432","GO:0016571","histone methylation",122,122,122,"0.29941"
"3433","GO:0007257","activation of JUN kinase activity",32,32,32,"0.29947"
"3434","GO:0001573","ganglioside metabolic process",16,16,16,"0.29949"
"3435","GO:0070143","mitochondrial alanyl-tRNA aminoacylation",1,1,1,"0.29954"
"3436","GO:0070072","vacuolar proton-transporting V-type ATPase complex assembly",4,4,4,"0.29967"
"3437","GO:1904708","regulation of granulosa cell apoptotic process",3,3,3,"0.29978"
"3438","GO:0006921","cellular component disassembly involved in execution phase of apoptosis",21,21,21,"0.29979"
"3439","GO:0048708","astrocyte differentiation",63,63,63,"0.29985"
"3440","GO:0001569","branching involved in blood vessel morphogenesis",35,35,35,"0.30008"
"3441","GO:0045841","negative regulation of mitotic metaphase/anaphase transition",36,36,36,"0.30015"
"3442","GO:0001666","response to hypoxia",156,156,156,"0.30040"
"3443","GO:0044265","cellular macromolecule catabolic process",919,919,919,"0.30065"
"3444","GO:0007057","spindle assembly involved in female meiosis I",2,2,2,"0.30072"
"3445","GO:0007517","muscle organ development",263,263,263,"0.30074"
"3446","GO:0002381","immunoglobulin production involved in immunoglobulin mediated immune response",59,59,59,"0.30078"
"3447","GO:0032331","negative regulation of chondrocyte differentiation",10,10,10,"0.30085"
"3448","GO:1901660","calcium ion export",8,8,8,"0.30090"
"3449","GO:1904702","regulation of protein localization to adherens junction",1,1,1,"0.30105"
"3450","GO:0097267","omega-hydroxylase P450 pathway",1,1,1,"0.30113"
"3451","GO:0009972","cytidine deamination",2,2,2,"0.30134"
"3452","GO:2000178","negative regulation of neural precursor cell proliferation",20,20,20,"0.30134"
"3453","GO:1902850","microtubule cytoskeleton organization involved in mitosis",129,129,129,"0.30155"
"3454","GO:0006924","activation-induced cell death of T cells",14,14,14,"0.30163"
"3455","GO:0051145","smooth muscle cell differentiation",47,47,47,"0.30191"
"3456","GO:0006790","sulfur compound metabolic process",214,214,214,"0.30202"
"3457","GO:0007259","receptor signaling pathway via JAK-STAT",108,108,108,"0.30203"
"3458","GO:0048332","mesoderm morphogenesis",40,40,40,"0.30206"
"3459","GO:1905634","regulation of protein localization to chromatin",6,6,6,"0.30215"
"3460","GO:0042692","muscle cell differentiation",264,264,264,"0.30221"
"3461","GO:0072593","reactive oxygen species metabolic process",227,227,227,"0.30223"
"3462","GO:0008347","glial cell migration",49,49,49,"0.30236"
"3463","GO:0086046","membrane depolarization during SA node cell action potential",2,2,2,"0.30247"
"3464","GO:0010694","positive regulation of alkaline phosphatase activity",5,5,5,"0.30249"
"3465","GO:0060372","regulation of atrial cardiac muscle cell membrane repolarization",3,3,3,"0.30251"
"3466","GO:1903434","negative regulation of constitutive secretory pathway",1,1,1,"0.30272"
"3467","GO:0014905","myoblast fusion involved in skeletal muscle regeneration",3,3,3,"0.30301"
"3468","GO:1990731","UV-damage excision repair, DNA incision",1,1,1,"0.30367"
"3469","GO:0060011","Sertoli cell proliferation",4,4,4,"0.30387"
"3470","GO:1904338","regulation of dopaminergic neuron differentiation",4,4,4,"0.30394"
"3471","GO:1904268","positive regulation of Schwann cell chemotaxis",1,1,1,"0.30396"
"3472","GO:2000050","regulation of non-canonical Wnt signaling pathway",19,19,19,"0.30397"
"3473","GO:0035821","modulation of process of other organism",81,81,81,"0.30406"
"3474","GO:0009154","purine ribonucleotide catabolic process",22,22,22,"0.30416"
"3475","GO:0018120","peptidyl-arginine ADP-ribosylation",4,4,4,"0.30438"
"3476","GO:2001187","positive regulation of CD8-positive, alpha-beta T cell activation",9,9,9,"0.30446"
"3477","GO:0046661","male sex differentiation",94,94,94,"0.30449"
"3478","GO:0070237","positive regulation of activation-induced cell death of T cells",1,1,1,"0.30461"
"3479","GO:1900118","negative regulation of execution phase of apoptosis",9,9,9,"0.30469"
"3480","GO:1902938","regulation of intracellular calcium activated chloride channel activity",1,1,1,"0.30491"
"3481","GO:0006693","prostaglandin metabolic process",31,31,31,"0.30497"
"3482","GO:0019516","lactate oxidation",1,1,1,"0.30498"
"3483","GO:0095500","acetylcholine receptor signaling pathway",14,14,14,"0.30512"
"3484","GO:0046684","response to pyrethroid",2,2,2,"0.30535"
"3485","GO:0086047","membrane depolarization during Purkinje myocyte cell action potential",2,2,2,"0.30535"
"3486","GO:0045624","positive regulation of T-helper cell differentiation",18,18,18,"0.30548"
"3487","GO:0006463","steroid hormone receptor complex assembly",1,1,1,"0.30556"
"3488","GO:0032836","glomerular basement membrane development",6,6,6,"0.30569"
"3489","GO:0003186","tricuspid valve morphogenesis",4,4,4,"0.30569"
"3490","GO:0055071","manganese ion homeostasis",3,3,3,"0.30574"
"3491","GO:0061485","memory T cell proliferation",1,1,1,"0.30593"
"3492","GO:0000413","protein peptidyl-prolyl isomerization",22,22,22,"0.30596"
"3493","GO:0003376","sphingosine-1-phosphate receptor signaling pathway",4,4,4,"0.30599"
"3494","GO:0000019","regulation of mitotic recombination",6,6,6,"0.30601"
"3495","GO:0071392","cellular response to estradiol stimulus",13,13,13,"0.30609"
"3496","GO:0042488","positive regulation of odontogenesis of dentin-containing tooth",1,1,1,"0.30622"
"3497","GO:1902228","positive regulation of macrophage colony-stimulating factor signaling pathway",1,1,1,"0.30622"
"3498","GO:0060611","mammary gland fat development",1,1,1,"0.30622"
"3499","GO:1904951","positive regulation of establishment of protein localization",285,285,285,"0.30631"
"3500","GO:0060325","face morphogenesis",27,27,27,"0.30642"
"3501","GO:0000723","telomere maintenance",120,120,120,"0.30657"
"3502","GO:0030886","negative regulation of myeloid dendritic cell activation",4,4,4,"0.30657"
"3503","GO:0050730","regulation of peptidyl-tyrosine phosphorylation",192,192,192,"0.30658"
"3504","GO:1903769","negative regulation of cell proliferation in bone marrow",1,1,1,"0.30681"
"3505","GO:0014064","positive regulation of serotonin secretion",1,1,1,"0.30681"
"3506","GO:0015671","oxygen transport",2,2,2,"0.30700"
"3507","GO:0044727","DNA demethylation of male pronucleus",1,1,1,"0.30717"
"3508","GO:0090285","negative regulation of protein glycosylation in Golgi",2,2,2,"0.30721"
"3509","GO:0022037","metencephalon development",76,76,76,"0.30727"
"3510","GO:0019290","siderophore biosynthetic process",1,1,1,"0.30739"
"3511","GO:1901843","positive regulation of high voltage-gated calcium channel activity",3,3,3,"0.30739"
"3512","GO:0031952","regulation of protein autophosphorylation",41,41,41,"0.30742"
"3513","GO:0050665","hydrogen peroxide biosynthetic process",12,12,12,"0.30745"
"3514","GO:0071045","nuclear histone mRNA catabolic process",1,1,1,"0.30783"
"3515","GO:0032735","positive regulation of interleukin-12 production",31,31,31,"0.30790"
"3516","GO:0048599","oocyte development",38,38,38,"0.30803"
"3517","GO:0045963","negative regulation of dopamine metabolic process",4,4,4,"0.30833"
"3518","GO:1902544","regulation of DNA N-glycosylase activity",2,2,2,"0.30851"
"3519","GO:0010940","positive regulation of necrotic cell death",9,9,9,"0.30861"
"3520","GO:0071654","positive regulation of chemokine (C-C motif) ligand 1 production",1,1,1,"0.30864"
"3521","GO:0051024","positive regulation of immunoglobulin secretion",8,8,8,"0.30881"
"3522","GO:0048745","smooth muscle tissue development",17,17,17,"0.30883"
"3523","GO:0014819","regulation of skeletal muscle contraction",7,7,7,"0.30889"
"3524","GO:0060668","regulation of branching involved in salivary gland morphogenesis by extracellular matrix-epithelial cell signaling",1,1,1,"0.30915"
"3525","GO:0034728","nucleosome organization",119,119,119,"0.30922"
"3526","GO:0010923","negative regulation of phosphatase activity",63,63,63,"0.30926"
"3527","GO:1901018","positive regulation of potassium ion transmembrane transporter activity",14,14,14,"0.30931"
"3528","GO:0035108","limb morphogenesis",96,96,96,"0.30931"
"3529","GO:0090219","negative regulation of lipid kinase activity",5,5,5,"0.30944"
"3530","GO:0043985","histone H4-R3 methylation",2,2,2,"0.30950"
"3531","GO:0060218","hematopoietic stem cell differentiation",22,22,22,"0.30950"
"3532","GO:1903319","positive regulation of protein maturation",18,18,18,"0.30967"
"3533","GO:0034622","cellular protein-containing complex assembly",825,825,825,"0.30971"
"3534","GO:0070345","negative regulation of fat cell proliferation",6,6,6,"0.30979"
"3535","GO:0051455","monopolar spindle attachment to meiosis I kinetochore",2,2,2,"0.30983"
"3536","GO:0035357","peroxisome proliferator activated receptor signaling pathway",16,16,16,"0.30989"
"3537","GO:0010467","gene expression",4299,4299,4299,"0.30999"
"3538","GO:1904823","purine nucleobase transmembrane transport",1,1,1,"0.31011"
"3539","GO:0035340","inosine transport",1,1,1,"0.31011"
"3540","GO:0051904","pigment granule transport",14,14,14,"0.31019"
"3541","GO:0001887","selenium compound metabolic process",3,3,3,"0.31036"
"3542","GO:0003208","cardiac ventricle morphogenesis",39,39,39,"0.31040"
"3543","GO:2000536","negative regulation of entry of bacterium into host cell",1,1,1,"0.31040"
"3544","GO:2000758","positive regulation of peptidyl-lysine acetylation",33,33,33,"0.31042"
"3545","GO:0035262","gonad morphogenesis",2,2,2,"0.31042"
"3546","GO:0071393","cellular response to progesterone stimulus",3,3,3,"0.31045"
"3547","GO:0044339","canonical Wnt signaling pathway involved in osteoblast differentiation",1,1,1,"0.31063"
"3548","GO:0051541","elastin metabolic process",6,6,6,"0.31064"
"3549","GO:0060992","response to fungicide",1,1,1,"0.31070"
"3550","GO:0051279","regulation of release of sequestered calcium ion into cytosol",56,56,56,"0.31075"
"3551","GO:0070973","protein localization to endoplasmic reticulum exit site",7,7,7,"0.31096"
"3552","GO:0002313","mature B cell differentiation involved in immune response",20,20,20,"0.31103"
"3553","GO:1903109","positive regulation of mitochondrial transcription",3,3,3,"0.31109"
"3554","GO:1901639","XDP catabolic process",1,1,1,"0.31136"
"3555","GO:0035863","dITP catabolic process",1,1,1,"0.31136"
"3556","GO:2000458","regulation of astrocyte chemotaxis",2,2,2,"0.31138"
"3557","GO:0016077","snoRNA catabolic process",2,2,2,"0.31138"
"3558","GO:2000404","regulation of T cell migration",40,40,40,"0.31156"
"3559","GO:0007019","microtubule depolymerization",40,40,40,"0.31161"
"3560","GO:0090107","regulation of high-density lipoprotein particle assembly",3,3,3,"0.31162"
"3561","GO:0120094","negative regulation of peptidyl-lysine crotonylation",1,1,1,"0.31210"
"3562","GO:2000320","negative regulation of T-helper 17 cell differentiation",9,9,9,"0.31224"
"3563","GO:1905090","negative regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization",1,1,1,"0.31225"
"3564","GO:1901998","toxin transport",36,36,36,"0.31230"
"3565","GO:0097676","histone H3-K36 dimethylation",3,3,3,"0.31254"
"3566","GO:1905366","negative regulation of intralumenal vesicle formation",1,1,1,"0.31255"
"3567","GO:0051582","positive regulation of neurotransmitter uptake",3,3,3,"0.31258"
"3568","GO:1904566","cellular response to 1-oleoyl-sn-glycerol 3-phosphate",1,1,1,"0.31262"
"3569","GO:1990180","mitochondrial tRNA 3'-end processing",3,3,3,"0.31267"
"3570","GO:0097745","mitochondrial tRNA 5'-end processing",3,3,3,"0.31267"
"3571","GO:0006120","mitochondrial electron transport, NADH to ubiquinone",21,21,21,"0.31317"
"3572","GO:0035811","negative regulation of urine volume",6,6,6,"0.31321"
"3573","GO:0006990","positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response",3,3,3,"0.31326"
"3574","GO:0035407","histone H3-T11 phosphorylation",1,1,1,"0.31336"
"3575","GO:0042982","amyloid precursor protein metabolic process",58,58,58,"0.31341"
"3576","GO:0015914","phospholipid transport",63,63,63,"0.31352"
"3577","GO:0036111","very long-chain fatty-acyl-CoA metabolic process",2,2,2,"0.31375"
"3578","GO:0036112","medium-chain fatty-acyl-CoA metabolic process",2,2,2,"0.31375"
"3579","GO:0014912","negative regulation of smooth muscle cell migration",15,15,15,"0.31376"
"3580","GO:0016189","synaptic vesicle to endosome fusion",4,4,4,"0.31387"
"3581","GO:0086009","membrane repolarization",26,26,26,"0.31389"
"3582","GO:0010171","body morphogenesis",45,45,45,"0.31392"
"3583","GO:0032507","maintenance of protein location in cell",62,62,62,"0.31393"
"3584","GO:0009411","response to UV",129,129,129,"0.31402"
"3585","GO:0060298","positive regulation of sarcomere organization",3,3,3,"0.31404"
"3586","GO:0072180","mesonephric duct morphogenesis",1,1,1,"0.31410"
"3587","GO:0036376","sodium ion export across plasma membrane",9,9,9,"0.31411"
"3588","GO:0006699","bile acid biosynthetic process",12,12,12,"0.31414"
"3589","GO:0070169","positive regulation of biomineral tissue development",34,34,34,"0.31434"
"3590","GO:0051053","negative regulation of DNA metabolic process",112,112,112,"0.31459"
"3591","GO:0033313","meiotic cell cycle checkpoint",6,6,6,"0.31478"
"3592","GO:1902626","assembly of large subunit precursor of preribosome",3,3,3,"0.31481"
"3593","GO:0070265","necrotic cell death",52,52,52,"0.31495"
"3594","GO:0007405","neuroblast proliferation",47,47,47,"0.31495"
"3595","GO:0045596","negative regulation of cell differentiation",538,538,538,"0.31532"
"3596","GO:0006783","heme biosynthetic process",21,21,21,"0.31557"
"3597","GO:0006642","triglyceride mobilization",4,4,4,"0.31558"
"3598","GO:0098989","NMDA selective glutamate receptor signaling pathway",3,3,3,"0.31575"
"3599","GO:0000290","deadenylation-dependent decapping of nuclear-transcribed mRNA",9,9,9,"0.31581"
"3600","GO:0071528","tRNA re-export from nucleus",1,1,1,"0.31611"
"3601","GO:0010592","positive regulation of lamellipodium assembly",20,20,20,"0.31611"
"3602","GO:0070085","glycosylation",167,167,167,"0.31620"
"3603","GO:0055129","L-proline biosynthetic process",3,3,3,"0.31627"
"3604","GO:2000850","negative regulation of glucocorticoid secretion",3,3,3,"0.31635"
"3605","GO:0060312","regulation of blood vessel remodeling",8,8,8,"0.31654"
"3606","GO:0035162","embryonic hemopoiesis",28,28,28,"0.31655"
"3607","GO:1900147","regulation of Schwann cell migration",6,6,6,"0.31665"
"3608","GO:0045875","negative regulation of sister chromatid cohesion",5,5,5,"0.31666"
"3609","GO:0032692","negative regulation of interleukin-1 production",21,21,21,"0.31680"
"3610","GO:0051893","regulation of focal adhesion assembly",53,53,53,"0.31684"
"3611","GO:0010804","negative regulation of tumor necrosis factor-mediated signaling pathway",9,9,9,"0.31685"
"3612","GO:0090267","positive regulation of mitotic cell cycle spindle assembly checkpoint",7,7,7,"0.31699"
"3613","GO:0006091","generation of precursor metabolites and energy",324,324,324,"0.31703"
"3614","GO:2001242","regulation of intrinsic apoptotic signaling pathway",147,147,147,"0.31715"
"3615","GO:0060124","positive regulation of growth hormone secretion",6,6,6,"0.31734"
"3616","GO:0070221","sulfide oxidation, using sulfide:quinone oxidoreductase",1,1,1,"0.31745"
"3617","GO:0010586","miRNA metabolic process",25,25,25,"0.31751"
"3618","GO:0060440","trachea formation",7,7,7,"0.31783"
"3619","GO:0007219","Notch signaling pathway",121,121,121,"0.31798"
"3620","GO:0044267","cellular protein metabolic process",3661,3661,3661,"0.31838"
"3621","GO:0071765","nuclear inner membrane organization",1,1,1,"0.31865"
"3622","GO:0002903","negative regulation of B cell apoptotic process",11,11,11,"0.31877"
"3623","GO:0002323","natural killer cell activation involved in immune response",11,11,11,"0.31883"
"3624","GO:0051344","negative regulation of cyclic-nucleotide phosphodiesterase activity",3,3,3,"0.31885"
"3625","GO:0032330","regulation of chondrocyte differentiation",29,29,29,"0.31892"
"3626","GO:0034146","toll-like receptor 5 signaling pathway",2,2,2,"0.31896"
"3627","GO:0090156","cellular sphingolipid homeostasis",6,6,6,"0.31905"
"3628","GO:0034263","positive regulation of autophagy in response to ER overload",3,3,3,"0.31911"
"3629","GO:0046325","negative regulation of glucose import",18,18,18,"0.31919"
"3630","GO:0070192","chromosome organization involved in meiotic cell cycle",55,55,55,"0.31924"
"3631","GO:0035520","monoubiquitinated protein deubiquitination",9,9,9,"0.31942"
"3632","GO:1904580","regulation of intracellular mRNA localization",4,4,4,"0.31945"
"3633","GO:1905505","positive regulation of motile cilium assembly",1,1,1,"0.31947"
"3634","GO:0021990","neural plate formation",1,1,1,"0.31947"
"3635","GO:0060078","regulation of postsynaptic membrane potential",56,56,56,"0.31953"
"3636","GO:0043654","recognition of apoptotic cell",5,5,5,"0.31975"
"3637","GO:0035600","tRNA methylthiolation",1,1,1,"0.31977"
"3638","GO:0030844","positive regulation of intermediate filament depolymerization",1,1,1,"0.31992"
"3639","GO:0007173","epidermal growth factor receptor signaling pathway",80,80,80,"0.32040"
"3640","GO:0006909","phagocytosis",203,203,203,"0.32054"
"3641","GO:0099527","postsynapse to nucleus signaling pathway",12,12,12,"0.32059"
"3642","GO:1905349","ciliary transition zone assembly",1,1,1,"0.32059"
"3643","GO:0097711","ciliary basal body-plasma membrane docking",1,1,1,"0.32059"
"3644","GO:0071677","positive regulation of mononuclear cell migration",19,19,19,"0.32063"
"3645","GO:0061035","regulation of cartilage development",39,39,39,"0.32071"
"3646","GO:0048545","response to steroid hormone",148,148,148,"0.32083"
"3647","GO:0009396","folic acid-containing compound biosynthetic process",9,9,9,"0.32088"
"3648","GO:0038109","Kit signaling pathway",4,4,4,"0.32137"
"3649","GO:0006984","ER-nucleus signaling pathway",38,38,38,"0.32143"
"3650","GO:0006211","5-methylcytosine catabolic process",3,3,3,"0.32145"
"3651","GO:0043537","negative regulation of blood vessel endothelial cell migration",27,27,27,"0.32153"
"3652","GO:0045213","neurotransmitter receptor metabolic process",6,6,6,"0.32160"
"3653","GO:0032272","negative regulation of protein polymerization",67,67,67,"0.32182"
"3654","GO:0051058","negative regulation of small GTPase mediated signal transduction",54,54,54,"0.32187"
"3655","GO:0045814","negative regulation of gene expression, epigenetic",75,75,75,"0.32191"
"3656","GO:0045216","cell-cell junction organization",131,131,131,"0.32193"
"3657","GO:0002181","cytoplasmic translation",84,84,84,"0.32215"
