"GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"GO:0048549","positive regulation of pinocytosis",8,8,7.95,"0.37851"
"GO:0045055","regulated exocytosis",169,167,167.96,"0.37856"
"GO:0071602","phytosphingosine biosynthetic process",1,1,0.99,"0.37861"
"GO:1905675","negative regulation of adaptive immune memory response",2,2,1.99,"0.37878"
"GO:0090398","cellular senescence",54,54,53.67,"0.37889"
"GO:1904042","negative regulation of cystathionine beta-synthase activity",1,1,0.99,"0.37903"
"GO:2000630","positive regulation of miRNA metabolic process",6,6,5.96,"0.37903"
"GO:0030389","fructosamine metabolic process",2,2,1.99,"0.37907"
"GO:0007026","negative regulation of microtubule depolymerization",28,28,27.83,"0.37909"
"GO:0048692","negative regulation of axon extension involved in regeneration",1,1,0.99,"0.37911"
"GO:0072089","stem cell proliferation",88,88,87.46,"0.37919"
"GO:0046587","positive regulation of calcium-dependent cell-cell adhesion",1,1,0.99,"0.37920"
"GO:0002093","auditory receptor cell morphogenesis",17,17,16.9,"0.37934"
"GO:2000049","positive regulation of cell-cell adhesion mediated by cadherin",7,7,6.96,"0.37937"
"GO:0046545","development of primary female sexual characteristics",70,68,69.57,"0.37949"
"GO:2001173","regulation of histone H2B conserved C-terminal lysine ubiquitination",1,1,0.99,"0.37970"
"GO:2001165","positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues",1,1,0.99,"0.37987"
"GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage",100,98,99.38,"0.37996"
"GO:0008016","regulation of heart contraction",99,99,98.39,"0.38006"
"GO:0036498","IRE1-mediated unfolded protein response",12,12,11.93,"0.38014"
"GO:1902261","positive regulation of delayed rectifier potassium channel activity",2,2,1.99,"0.38015"
"GO:0150007","clathrin-dependent synaptic vesicle endocytosis",2,2,1.99,"0.38027"
"GO:0061885","positive regulation of mini excitatory postsynaptic potential",2,2,1.99,"0.38039"
"GO:0045657","positive regulation of monocyte differentiation",7,7,6.96,"0.38068"
"GO:1905477","positive regulation of protein localization to membrane",82,81,81.5,"0.38080"
"GO:1904158","axonemal central apparatus assembly",2,2,1.99,"0.38152"
"GO:1904881","cellular response to hydrogen sulfide",3,3,2.98,"0.38163"
"GO:0008406","gonad development",133,131,132.18,"0.38168"
"GO:1903378","positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway",3,3,2.98,"0.38173"
"GO:0051583","dopamine uptake involved in synaptic transmission",6,5,5.96,"0.38175"
"GO:0090068","positive regulation of cell cycle process",203,203,201.75,"0.38176"
"GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress",13,13,12.92,"0.38179"
"GO:1901911","adenosine 5'-(hexahydrogen pentaphosphate) catabolic process",2,2,1.99,"0.38188"
"GO:1901907","diadenosine pentaphosphate catabolic process",2,2,1.99,"0.38188"
"GO:1901909","diadenosine hexaphosphate catabolic process",2,2,1.99,"0.38188"
"GO:0090222","centrosome-templated microtubule nucleation",2,2,1.99,"0.38200"
"GO:0001963","synaptic transmission, dopaminergic",14,13,13.91,"0.38202"
"GO:0006668","sphinganine-1-phosphate metabolic process",2,2,1.99,"0.38218"
"GO:0034352","positive regulation of glial cell apoptotic process",3,3,2.98,"0.38218"
"GO:0000469","cleavage involved in rRNA processing",27,27,26.83,"0.38286"
"GO:0006686","sphingomyelin biosynthetic process",6,6,5.96,"0.38295"
"GO:0006288","base-excision repair, DNA ligation",1,1,0.99,"0.38309"
"GO:1905786","positive regulation of anaphase-promoting complex-dependent catabolic process",2,2,1.99,"0.38314"
"GO:0010121","arginine catabolic process to proline via ornithine",1,1,0.99,"0.38317"
"GO:0019544","arginine catabolic process to glutamate",1,1,0.99,"0.38317"
"GO:0001880","Mullerian duct regression",2,2,1.99,"0.38320"
"GO:0042304","regulation of fatty acid biosynthetic process",32,32,31.8,"0.38336"
"GO:0002528","regulation of vascular permeability involved in acute inflammatory response",2,2,1.99,"0.38338"
"GO:0010971","positive regulation of G2/M transition of mitotic cell cycle",25,25,24.85,"0.38357"
"GO:1903393","positive regulation of adherens junction organization",2,2,1.99,"0.38374"
"GO:2000660","negative regulation of interleukin-1-mediated signaling pathway",4,4,3.98,"0.38376"
"GO:1901660","calcium ion export",7,7,6.96,"0.38411"
"GO:1902548","negative regulation of cellular response to vascular endothelial growth factor stimulus",8,8,7.95,"0.38411"
"GO:1905145","cellular response to acetylcholine",16,16,15.9,"0.38412"
"GO:0042851","L-alanine metabolic process",1,1,0.99,"0.38419"
"GO:0051838","cytolysis by host of symbiont cells",2,2,1.99,"0.38458"
"GO:1902338","negative regulation of apoptotic process involved in morphogenesis",3,3,2.98,"0.38467"
"GO:0034699","response to luteinizing hormone",1,1,0.99,"0.38470"
"GO:0060939","epicardium-derived cardiac fibroblast cell development",2,2,1.99,"0.38473"
"GO:0032354","response to follicle-stimulating hormone",5,5,4.97,"0.38481"
"GO:0032079","positive regulation of endodeoxyribonuclease activity",4,4,3.98,"0.38487"
"GO:1902269","positive regulation of polyamine transmembrane transport",2,2,1.99,"0.38494"
"GO:2000003","positive regulation of DNA damage checkpoint",1,1,0.99,"0.38521"
"GO:0043549","regulation of kinase activity",587,582,583.39,"0.38523"
"GO:2000866","positive regulation of estradiol secretion",1,1,0.99,"0.38530"
"GO:0030961","peptidyl-arginine hydroxylation",1,1,0.99,"0.38538"
"GO:0043248","proteasome assembly",14,14,13.91,"0.38543"
"GO:1902946","protein localization to early endosome",10,10,9.94,"0.38545"
"GO:0022605","mammalian oogenesis stage",2,2,1.99,"0.38549"
"GO:1905040","otic placode development",1,1,0.99,"0.38555"
"GO:0061441","renal artery morphogenesis",1,1,0.99,"0.38555"
"GO:1902378","VEGF-activated neuropilin signaling pathway involved in axon guidance",1,1,0.99,"0.38555"
"GO:0060980","cell migration involved in coronary vasculogenesis",1,1,0.99,"0.38555"
"GO:0042136","neurotransmitter biosynthetic process",2,2,1.99,"0.38561"
"GO:0060734","regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation",2,2,1.99,"0.38579"
"GO:0035924","cellular response to vascular endothelial growth factor stimulus",43,43,42.74,"0.38579"
"GO:0070995","NADPH oxidation",7,7,6.96,"0.38585"
"GO:1990167","protein K27-linked deubiquitination",2,2,1.99,"0.38591"
"GO:0099004","calmodulin dependent kinase signaling pathway",9,9,8.94,"0.38627"
"GO:0031333","negative regulation of protein-containing complex assembly",114,111,113.3,"0.38640"
"GO:0035279","mRNA cleavage involved in gene silencing by miRNA",2,2,1.99,"0.38645"
"GO:0006396","RNA processing",778,777,773.21,"0.38648"
"GO:0021545","cranial nerve development",28,28,27.83,"0.38661"
"GO:0031000","response to caffeine",12,12,11.93,"0.38668"
"GO:1990962","xenobiotic transport across blood-brain barrier",2,2,1.99,"0.38675"
"GO:0015747","urate transport",2,2,1.99,"0.38675"
"GO:0046929","negative regulation of neurotransmitter secretion",9,9,8.94,"0.38687"
"GO:0032446","protein modification by small protein conjugation",593,586,589.35,"0.38694"
"GO:0032482","Rab protein signal transduction",8,7,7.95,"0.38694"
"GO:0060219","camera-type eye photoreceptor cell differentiation",17,17,16.9,"0.38714"
"GO:0098908","regulation of neuronal action potential",4,4,3.98,"0.38716"
"GO:1901254","positive regulation of intracellular transport of viral material",1,1,0.99,"0.38717"
"GO:0016198","axon choice point recognition",5,5,4.97,"0.38719"
"GO:0043491","protein kinase B signaling",138,138,137.15,"0.38731"
"GO:0035526","retrograde transport, plasma membrane to Golgi",2,2,1.99,"0.38735"
"GO:0045444","fat cell differentiation",191,191,189.82,"0.38754"
"GO:0097050","type B pancreatic cell apoptotic process",12,12,11.93,"0.38779"
"GO:0033693","neurofilament bundle assembly",1,1,0.99,"0.38785"
"GO:0019827","stem cell population maintenance",120,120,119.26,"0.38785"
"GO:1903935","response to sodium arsenite",5,5,4.97,"0.38787"
"GO:0050765","negative regulation of phagocytosis",21,21,20.87,"0.38789"
"GO:0060075","regulation of resting membrane potential",6,6,5.96,"0.38805"
"GO:2000036","regulation of stem cell population maintenance",25,25,24.85,"0.38817"
"GO:0033137","negative regulation of peptidyl-serine phosphorylation",27,26,26.83,"0.38822"
"GO:0002091","negative regulation of receptor internalization",11,11,10.93,"0.38827"
"GO:1905537","positive regulation of eukaryotic translation initiation factor 4F complex assembly",1,1,0.99,"0.38828"
"GO:1905612","positive regulation of mRNA cap binding",1,1,0.99,"0.38828"
"GO:1905696","regulation of polysome binding",2,2,1.99,"0.38830"
"GO:0010656","negative regulation of muscle cell apoptotic process",44,44,43.73,"0.38841"
"GO:0010232","vascular transport",8,8,7.95,"0.38881"
"GO:1905776","positive regulation of DNA helicase activity",3,3,2.98,"0.38895"
"GO:0010652","positive regulation of cell communication by chemical coupling",1,1,0.99,"0.38905"
"GO:0032277","negative regulation of gonadotropin secretion",1,1,0.99,"0.38905"
"GO:0060156","milk ejection reflex",1,1,0.99,"0.38905"
"GO:0003294","atrial ventricular junction remodeling",1,1,0.99,"0.38905"
"GO:1905772","positive regulation of mesodermal cell differentiation",2,2,1.99,"0.38907"
"GO:1905332","positive regulation of morphogenesis of an epithelium",23,23,22.86,"0.38912"
"GO:0010838","positive regulation of keratinocyte proliferation",5,5,4.97,"0.38915"
"GO:0099111","microtubule-based transport",155,155,154.05,"0.38932"
"GO:0038003","opioid receptor signaling pathway",5,5,4.97,"0.38941"
"GO:0002760","positive regulation of antimicrobial humoral response",3,3,2.98,"0.38953"
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",6,6,5.96,"0.38953"
"GO:0015794","glycerol-3-phosphate transmembrane transport",1,1,0.99,"0.38964"
"GO:0007398","ectoderm development",11,11,10.93,"0.38968"
"GO:0031507","heterochromatin assembly",42,42,41.74,"0.38982"
"GO:0015705","iodide transport",4,4,3.98,"0.38995"
"GO:0048672","positive regulation of collateral sprouting",7,7,6.96,"0.39015"
"GO:0006782","protoporphyrinogen IX biosynthetic process",2,2,1.99,"0.39025"
"GO:2000753","positive regulation of glucosylceramide catabolic process",1,1,0.99,"0.39033"
"GO:2000755","positive regulation of sphingomyelin catabolic process",1,1,0.99,"0.39033"
"GO:1900163","positive regulation of phospholipid scramblase activity",1,1,0.99,"0.39033"
"GO:0098943","neurotransmitter receptor transport, postsynaptic endosome to lysosome",1,1,0.99,"0.39059"
"GO:0033567","DNA replication, Okazaki fragment processing",2,2,1.99,"0.39087"
"GO:0019511","peptidyl-proline hydroxylation",13,13,12.92,"0.39124"
"GO:0016571","histone methylation",120,120,119.26,"0.39148"
"GO:0061620","glycolytic process through glucose-6-phosphate",10,10,9.94,"0.39169"
"GO:0002768","immune response-regulating cell surface receptor signaling pathway",184,182,182.87,"0.39175"
"GO:1904823","purine nucleobase transmembrane transport",1,1,0.99,"0.39178"
"GO:0035340","inosine transport",1,1,0.99,"0.39178"
"GO:0051545","negative regulation of elastin biosynthetic process",1,1,0.99,"0.39187"
"GO:0060266","negative regulation of respiratory burst involved in inflammatory response",4,4,3.98,"0.39195"
"GO:1902115","regulation of organelle assembly",173,171,171.94,"0.39224"
"GO:0050663","cytokine secretion",59,59,58.64,"0.39232"
"GO:0001975","response to amphetamine",8,8,7.95,"0.39247"
"GO:1904948","midbrain dopaminergic neuron differentiation",5,5,4.97,"0.39250"
"GO:0043587","tongue morphogenesis",6,6,5.96,"0.39253"
"GO:0046051","UTP metabolic process",8,8,7.95,"0.39275"
"GO:1902746","regulation of lens fiber cell differentiation",8,8,7.95,"0.39281"
"GO:0046041","ITP metabolic process",2,2,1.99,"0.39293"
"GO:0002036","regulation of L-glutamate import across plasma membrane",7,7,6.96,"0.39341"
"GO:1901142","insulin metabolic process",7,7,6.96,"0.39358"
"GO:0006198","cAMP catabolic process",1,1,0.99,"0.39367"
"GO:0051653","spindle localization",45,45,44.72,"0.39371"
"GO:0007158","neuron cell-cell adhesion",4,4,3.98,"0.39371"
"GO:0008228","opsonization",3,3,2.98,"0.39377"
"GO:0009755","hormone-mediated signaling pathway",113,112,112.3,"0.39396"
"GO:1905224","clathrin-coated pit assembly",3,3,2.98,"0.39401"
"GO:0002711","positive regulation of T cell mediated immunity",42,41,41.74,"0.39410"
"GO:0042698","ovulation cycle",28,27,27.83,"0.39413"
"GO:0010750","positive regulation of nitric oxide mediated signal transduction",2,2,1.99,"0.39419"
"GO:1902722","positive regulation of prolactin secretion",2,2,1.99,"0.39419"
"GO:0009950","dorsal/ventral axis specification",9,9,8.94,"0.39421"
"GO:2000176","positive regulation of pro-T cell differentiation",1,1,0.99,"0.39427"
"GO:0043622","cortical microtubule organization",3,3,2.98,"0.39429"
"GO:1903364","positive regulation of cellular protein catabolic process",128,127,127.21,"0.39451"
"GO:0048009","insulin-like growth factor receptor signaling pathway",21,21,20.87,"0.39457"
"GO:1900025","negative regulation of substrate adhesion-dependent cell spreading",7,7,6.96,"0.39464"
"GO:0120158","positive regulation of collagen catabolic process",2,2,1.99,"0.39474"
"GO:0035088","establishment or maintenance of apical/basal cell polarity",33,33,32.8,"0.39477"
"GO:0010884","positive regulation of lipid storage",20,20,19.88,"0.39486"
"GO:1904751","positive regulation of protein localization to nucleolus",4,4,3.98,"0.39487"
"GO:0045737","positive regulation of cyclin-dependent protein serine/threonine kinase activity",23,23,22.86,"0.39499"
"GO:0034454","microtubule anchoring at centrosome",10,10,9.94,"0.39500"
"GO:0006021","inositol biosynthetic process",1,1,0.99,"0.39513"
"GO:0060419","heart growth",78,78,77.52,"0.39527"
"GO:1902504","regulation of signal transduction involved in mitotic G2 DNA damage checkpoint",1,1,0.99,"0.39531"
"GO:0098976","excitatory chemical synaptic transmission",2,2,1.99,"0.39547"
"GO:0030241","skeletal muscle myosin thick filament assembly",1,1,0.99,"0.39548"
"GO:0043056","forward locomotion",1,1,0.99,"0.39548"
"GO:0002679","respiratory burst involved in defense response",10,10,9.94,"0.39579"
"GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway",216,215,214.67,"0.39585"
"GO:0071371","cellular response to gonadotropin stimulus",6,6,5.96,"0.39603"
"GO:0090240","positive regulation of histone H4 acetylation",6,5,5.96,"0.39605"
"GO:0006829","zinc ion transport",21,21,20.87,"0.39607"
"GO:2001236","regulation of extrinsic apoptotic signaling pathway",126,124,125.22,"0.39612"
"GO:0046949","fatty-acyl-CoA biosynthetic process",6,6,5.96,"0.39613"
"GO:0060539","diaphragm development",2,2,1.99,"0.39626"
"GO:0050760","negative regulation of thymidylate synthase biosynthetic process",1,1,0.99,"0.39643"
"GO:1902177","positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",7,7,6.96,"0.39651"
"GO:0097510","base-excision repair, AP site formation via deaminated base removal",1,1,0.99,"0.39660"
"GO:0001787","natural killer cell proliferation",9,9,8.94,"0.39667"
"GO:0098507","polynucleotide 5' dephosphorylation",1,1,0.99,"0.39668"
"GO:0017190","N-terminal peptidyl-aspartic acid acetylation",1,1,0.99,"0.39686"
"GO:1900370","positive regulation of RNA interference",1,1,0.99,"0.39694"
"GO:0035281","pre-miRNA export from nucleus",1,1,0.99,"0.39694"
"GO:0008202","steroid metabolic process",185,183,183.86,"0.39699"
"GO:0036378","calcitriol biosynthetic process from calciol",2,2,1.99,"0.39699"
"GO:0051571","positive regulation of histone H3-K4 methylation",16,16,15.9,"0.39710"
"GO:0090305","nucleic acid phosphodiester bond hydrolysis",113,113,112.3,"0.39720"
"GO:0046487","glyoxylate metabolic process",4,4,3.98,"0.39749"
"GO:0010157","response to chlorate",1,1,0.99,"0.39763"
"GO:1990001","inhibition of cysteine-type endopeptidase activity involved in apoptotic process",4,4,3.98,"0.39768"
"GO:0043537","negative regulation of blood vessel endothelial cell migration",26,25,25.84,"0.39781"
"GO:0071042","nuclear polyadenylation-dependent mRNA catabolic process",4,4,3.98,"0.39789"
"GO:0032026","response to magnesium ion",11,10,10.93,"0.39790"
"GO:1990134","epithelial cell apoptotic process involved in palatal shelf morphogenesis",1,1,0.99,"0.39798"
"GO:0042492","gamma-delta T cell differentiation",15,15,14.91,"0.39802"
"GO:0050891","multicellular organismal water homeostasis",26,26,25.84,"0.39803"
"GO:0045887","positive regulation of synaptic growth at neuromuscular junction",2,2,1.99,"0.39803"
"GO:0061308","cardiac neural crest cell development involved in heart development",7,7,6.96,"0.39814"
"GO:0061156","pulmonary artery morphogenesis",3,3,2.98,"0.39822"
"GO:0030155","regulation of cell adhesion",535,532,531.71,"0.39871"
"GO:0031113","regulation of microtubule polymerization",43,41,42.74,"0.39892"
"GO:0071726","cellular response to diacyl bacterial lipopeptide",4,4,3.98,"0.39893"
"GO:0015891","siderophore transport",2,2,1.99,"0.39913"
"GO:0032511","late endosome to vacuole transport via multivesicular body sorting pathway",14,14,13.91,"0.39916"
"GO:0034613","cellular protein localization",1494,1485,1484.81,"0.39917"
"GO:0016239","positive regulation of macroautophagy",65,64,64.6,"0.39925"
"GO:0006670","sphingosine metabolic process",14,14,13.91,"0.39937"
"GO:2000751","histone H3-T3 phosphorylation involved in chromosome passenger complex localization to kinetochore",1,1,0.99,"0.39953"
"GO:0007017","microtubule-based process",655,650,650.97,"0.39965"
"GO:0046878","positive regulation of saliva secretion",2,2,1.99,"0.39974"
"GO:1903434","negative regulation of constitutive secretory pathway",1,1,0.99,"0.39979"
"GO:0006936","muscle contraction",171,171,169.95,"0.39988"
"GO:0043647","inositol phosphate metabolic process",41,40,40.75,"0.39996"
"GO:0006672","ceramide metabolic process",67,66,66.59,"0.40006"
"GO:0046154","rhodopsin metabolic process",1,1,0.99,"0.40023"
"GO:0035606","peptidyl-cysteine S-trans-nitrosylation",2,2,1.99,"0.40035"
"GO:0071169","establishment of protein localization to chromatin",6,6,5.96,"0.40041"
"GO:0048599","oocyte development",35,35,34.78,"0.40048"
"GO:0032849","positive regulation of cellular pH reduction",3,3,2.98,"0.40060"
"GO:0042159","lipoprotein catabolic process",14,14,13.91,"0.40067"
"GO:0045786","negative regulation of cell cycle",375,373,372.69,"0.40068"
"GO:0060437","lung growth",4,4,3.98,"0.40071"
"GO:0048265","response to pain",17,17,16.9,"0.40080"
"GO:0042953","lipoprotein transport",12,12,11.93,"0.40090"
"GO:0046745","viral capsid secondary envelopment",1,1,0.99,"0.40092"
"GO:0048806","genitalia development",23,22,22.86,"0.40102"
"GO:1900208","regulation of cardiolipin metabolic process",4,4,3.98,"0.40103"
"GO:0043968","histone H2A acetylation",16,16,15.9,"0.40104"
"GO:0051865","protein autoubiquitination",67,67,66.59,"0.40107"
"GO:0021775","smoothened signaling pathway involved in ventral spinal cord interneuron specification",1,1,0.99,"0.40109"
"GO:0021776","smoothened signaling pathway involved in spinal cord motor neuron cell fate specification",1,1,0.99,"0.40109"
"GO:0035987","endodermal cell differentiation",17,17,16.9,"0.40144"
"GO:0072674","multinuclear osteoclast differentiation",7,7,6.96,"0.40147"
"GO:1902045","negative regulation of Fas signaling pathway",1,1,0.99,"0.40161"
"GO:0060968","regulation of gene silencing",65,65,64.6,"0.40166"
"GO:0050688","regulation of defense response to virus",67,67,66.59,"0.40172"
"GO:0009143","nucleoside triphosphate catabolic process",12,12,11.93,"0.40189"
"GO:0001960","negative regulation of cytokine-mediated signaling pathway",40,40,39.75,"0.40192"
"GO:0060068","vagina development",6,6,5.96,"0.40193"
"GO:0090336","positive regulation of brown fat cell differentiation",13,13,12.92,"0.40194"
"GO:0045819","positive regulation of glycogen catabolic process",2,2,1.99,"0.40201"
"GO:0032609","interferon-gamma production",97,97,96.4,"0.40238"
"GO:1904060","negative regulation of locomotor rhythm",1,1,0.99,"0.40239"
"GO:0021846","cell proliferation in forebrain",21,21,20.87,"0.40240"
"GO:0010992","ubiquitin recycling",9,9,8.94,"0.40262"
"GO:0035990","tendon cell differentiation",1,1,0.99,"0.40265"
"GO:0002932","tendon sheath development",1,1,0.99,"0.40265"
"GO:0032430","positive regulation of phospholipase A2 activity",3,3,2.98,"0.40267"
"GO:0035726","common myeloid progenitor cell proliferation",8,8,7.95,"0.40315"
"GO:0060379","cardiac muscle cell myoblast differentiation",7,7,6.96,"0.40334"
"GO:2000798","negative regulation of amniotic stem cell differentiation",1,1,0.99,"0.40335"
"GO:2000706","negative regulation of dense core granule biogenesis",1,1,0.99,"0.40335"
"GO:0010529","negative regulation of transposition",11,11,10.93,"0.40341"
"GO:0060402","calcium ion transport into cytosol",98,96,97.4,"0.40349"
"GO:0045722","positive regulation of gluconeogenesis",18,18,17.89,"0.40353"
"GO:0010866","regulation of triglyceride biosynthetic process",18,18,17.89,"0.40359"
"GO:0050728","negative regulation of inflammatory response",104,104,103.36,"0.40359"
"GO:0036343","psychomotor behavior",3,3,2.98,"0.40372"
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I",27,26,26.83,"0.40386"
"GO:0070171","negative regulation of tooth mineralization",1,1,0.99,"0.40387"
"GO:1903894","regulation of IRE1-mediated unfolded protein response",7,7,6.96,"0.40393"
"GO:0048633","positive regulation of skeletal muscle tissue growth",5,5,4.97,"0.40399"
"GO:0014916","regulation of lung blood pressure",4,4,3.98,"0.40407"
"GO:0038116","chemokine (C-C motif) ligand 21 signaling pathway",2,2,1.99,"0.40428"
"GO:0039534","negative regulation of MDA-5 signaling pathway",4,4,3.98,"0.40439"
"GO:0070262","peptidyl-serine dephosphorylation",15,15,14.91,"0.40447"
"GO:0048812","neuron projection morphogenesis",446,445,443.26,"0.40462"
"GO:0051347","positive regulation of transferase activity",449,444,446.24,"0.40462"
"GO:2001288","positive regulation of caveolin-mediated endocytosis",3,3,2.98,"0.40463"
"GO:0018312","peptidyl-serine ADP-ribosylation",3,3,2.98,"0.40468"
"GO:0055118","negative regulation of cardiac muscle contraction",5,5,4.97,"0.40516"
"GO:0009223","pyrimidine deoxyribonucleotide catabolic process",4,4,3.98,"0.40535"
"GO:0021695","cerebellar cortex development",38,37,37.77,"0.40564"
"GO:0090161","Golgi ribbon formation",14,13,13.91,"0.40581"
"GO:0002009","morphogenesis of an epithelium",350,350,347.85,"0.40582"
"GO:0003417","growth plate cartilage development",11,11,10.93,"0.40590"
"GO:0010360","negative regulation of anion channel activity",4,4,3.98,"0.40604"
"GO:0061073","ciliary body morphogenesis",4,4,3.98,"0.40618"
"GO:0031293","membrane protein intracellular domain proteolysis",6,6,5.96,"0.40644"
"GO:0036344","platelet morphogenesis",19,19,18.88,"0.40656"
"GO:0034205","amyloid-beta formation",34,34,33.79,"0.40658"
"GO:0060391","positive regulation of SMAD protein signal transduction",11,11,10.93,"0.40667"
"GO:0070816","phosphorylation of RNA polymerase II C-terminal domain",11,11,10.93,"0.40674"
"GO:0006788","heme oxidation",2,2,1.99,"0.40674"
"GO:0000738","DNA catabolic process, exonucleolytic",7,7,6.96,"0.40676"
"GO:0010980","positive regulation of vitamin D 24-hydroxylase activity",2,2,1.99,"0.40730"
"GO:0061723","glycophagy",2,2,1.99,"0.40736"
"GO:0051308","male meiosis chromosome separation",1,1,0.99,"0.40753"
"GO:0070814","hydrogen sulfide biosynthetic process",3,3,2.98,"0.40761"
"GO:0006253","dCTP catabolic process",1,1,0.99,"0.40761"
"GO:0060537","muscle tissue development",285,283,283.25,"0.40784"
"GO:0048570","notochord morphogenesis",3,3,2.98,"0.40786"
"GO:0035329","hippo signaling",25,25,24.85,"0.40788"
"GO:1902362","melanocyte apoptotic process",1,1,0.99,"0.40796"
"GO:0097325","melanocyte proliferation",1,1,0.99,"0.40796"
"GO:0018205","peptidyl-lysine modification",314,312,312.07,"0.40808"
"GO:0006756","AMP phosphorylation",2,2,1.99,"0.40816"
"GO:0106048","spermidine deacetylation",1,1,0.99,"0.40840"
"GO:0071727","cellular response to triacyl bacterial lipopeptide",3,3,2.98,"0.40845"
"GO:0002752","cell surface pattern recognition receptor signaling pathway",3,3,2.98,"0.40845"
"GO:0046512","sphingosine biosynthetic process",11,11,10.93,"0.40862"
"GO:0035825","homologous recombination",38,38,37.77,"0.40868"
"GO:1904411","positive regulation of secretory granule organization",1,1,0.99,"0.40892"
"GO:0060041","retina development in camera-type eye",87,85,86.46,"0.40895"
"GO:0001711","endodermal cell fate commitment",7,7,6.96,"0.40898"
"GO:0070054","mRNA splicing, via endonucleolytic cleavage and ligation",1,1,0.99,"0.40901"
"GO:1990579","peptidyl-serine trans-autophosphorylation",1,1,0.99,"0.40901"
"GO:0002089","lens morphogenesis in camera-type eye",15,14,14.91,"0.40906"
"GO:0098787","mRNA cleavage involved in mRNA processing",12,12,11.93,"0.40916"
"GO:0002192","IRES-dependent translational initiation of linear mRNA",2,2,1.99,"0.40921"
"GO:0001654","eye development",227,225,225.6,"0.40929"
"GO:0071872","cellular response to epinephrine stimulus",6,6,5.96,"0.40933"
"GO:0031334","positive regulation of protein-containing complex assembly",186,183,184.86,"0.40949"
"GO:0050685","positive regulation of mRNA processing",33,32,32.8,"0.40968"
"GO:0099152","regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane",2,2,1.99,"0.40971"
"GO:0080129","proteasome core complex assembly",1,1,0.99,"0.40971"
"GO:0021618","hypoglossal nerve morphogenesis",1,1,0.99,"0.40980"
"GO:0021965","spinal cord ventral commissure morphogenesis",1,1,0.99,"0.40980"
"GO:0071044","histone mRNA catabolic process",12,12,11.93,"0.40983"
"GO:0036503","ERAD pathway",88,87,87.46,"0.40985"
"GO:0021610","facial nerve morphogenesis",6,6,5.96,"0.40986"
"GO:2000116","regulation of cysteine-type endopeptidase activity",188,184,186.84,"0.41008"
"GO:0071468","cellular response to acidic pH",6,6,5.96,"0.41013"
"GO:1902358","sulfate transmembrane transport",1,1,0.99,"0.41050"
"GO:0032376","positive regulation of cholesterol transport",24,24,23.85,"0.41053"
"GO:0042119","neutrophil activation",27,27,26.83,"0.41055"
"GO:0030886","negative regulation of myeloid dendritic cell activation",3,3,2.98,"0.41103"
"GO:0002040","sprouting angiogenesis",86,86,85.47,"0.41128"
"GO:1905505","positive regulation of motile cilium assembly",1,1,0.99,"0.41146"
"GO:0021990","neural plate formation",1,1,0.99,"0.41146"
"GO:1904580","regulation of intracellular mRNA localization",4,4,3.98,"0.41146"
"GO:0050857","positive regulation of antigen receptor-mediated signaling pathway",23,23,22.86,"0.41149"
"GO:0016052","carbohydrate catabolic process",114,113,113.3,"0.41153"
"GO:0006233","dTDP biosynthetic process",2,2,1.99,"0.41157"
"GO:0044855","plasma membrane raft distribution",2,2,1.99,"0.41158"
"GO:0006013","mannose metabolic process",10,10,9.94,"0.41173"
"GO:1990953","intramanchette transport",1,1,0.99,"0.41190"
"GO:0072513","positive regulation of secondary heart field cardioblast proliferation",2,2,1.99,"0.41212"
"GO:0048148","behavioral response to cocaine",11,10,10.93,"0.41213"
"GO:0045588","positive regulation of gamma-delta T cell differentiation",9,9,8.94,"0.41252"
"GO:0034383","low-density lipoprotein particle clearance",15,15,14.91,"0.41253"
"GO:0048384","retinoic acid receptor signaling pathway",20,20,19.88,"0.41260"
"GO:0090324","negative regulation of oxidative phosphorylation",8,8,7.95,"0.41269"
"GO:0031167","rRNA methylation",19,19,18.88,"0.41279"
"GO:0002519","natural killer cell tolerance induction",2,2,1.99,"0.41281"
"GO:0007276","gamete generation",427,426,424.37,"0.41293"
"GO:0000720","pyrimidine dimer repair by nucleotide-excision repair",4,4,3.98,"0.41300"
"GO:0006360","transcription by RNA polymerase I",50,50,49.69,"0.41302"
"GO:0071447","cellular response to hydroperoxide",7,7,6.96,"0.41320"
"GO:0001710","mesodermal cell fate commitment",6,6,5.96,"0.41336"
"GO:2000363","positive regulation of prostaglandin-E synthase activity",2,2,1.99,"0.41343"
"GO:0001781","neutrophil apoptotic process",12,12,11.93,"0.41346"
"GO:1905403","negative regulation of activated CD8-positive, alpha-beta T cell apoptotic process",1,1,0.99,"0.41357"
"GO:0071644","negative regulation of chemokine (C-C motif) ligand 4 production",1,1,0.99,"0.41357"
